market,rank,account,name,pnl_month,volume_month,pnl_per_volume,trade_count,largest_win,largest_win_to_pnl,closed_count,closed_realized_sum,top_closed_realized,top_closed_share_of_positive_closed,top_closed_title,top_closed_outcome,current_position_count,current_position_value,current_position_cost,unique_event_count_sample,negative_risk_count_sample,join_date,classification,excluded,classification_reasons,data_source,not_trade_recommended
polymarket,12,0xa49becb692927d455924583b5e3e5788246f4c40,sleepy-panda,276254.22588,1103934.802879,0.25024506,5432,526644.998489,1.906378,30,5814182.102942,526644.998489,0.090579,Will Real Madrid CF win on 2026-03-17?,Yes,4,321448.6032,322704.8222,30,0,2024-11-15T18:49:08.368000Z,B_pm_hf_mm_arb,False,very high trade count; broad/current position footprint; largest win still large; verify not a single-event artifact,fresh_api:local_sample_detail,True
polymarket,13,0x924379a79c64b77ad5816ad362122a5f6228658e,Kch-Temp,261335.495052,1011131.36863,0.2584585,159,370999.426589,1.419629,30,3637584.745795,370999.426589,0.101991,Belgium vs. IR Iran: O/U 2.5,Under,77,536467.2612,4121386.2898,77,0,2026-06-09T10:33:14.162000Z,F_anomaly_or_unclear_excluded,True,does not cleanly meet A/B/C thresholds,fresh_api:local_sample_detail,True
polymarket,14,0x9f2fe025f84839ca81dd8e0338892605702d2ca8,surfandturf,254355.278075,3818665.145365,0.06660843,379,873824.708291,3.435449,30,13757827.870016,873824.708291,0.063515,"UFC Freedom 250: Justin Gaethje vs. Ilia Topuria (Lightweight, Main Card)",Justin Gaethje,0,0.0,0.0,30,0,2026-04-01T02:03:57.485000Z,F_anomaly_or_unclear_excluded,True,does not cleanly meet A/B/C thresholds,fresh_api:local_sample_detail,True
polymarket,15,0x5c3a1a602848565bb16165fcd460b00c3d43020b,Crystiano,252802.795199,1988612.113246,0.12712524,1507,329669.067457,1.304056,30,4058786.381817,329669.067457,0.081224,Spread: Argentina (-1.5),Argentina,41,19439.1611,1571108.4581,41,0,2026-01-18T17:45:10.041000Z,B_pm_hf_mm_arb,False,very high trade count; broad/current position footprint; largest win still large; verify not a single-event artifact,fresh_api:local_sample_detail,True
polymarket,16,0x5257aa84944804bbb0c718814ebebeeafaca3e2a,NO-GOD-PLEASE-NO,252089.172986,1445051.851213,0.17444992,168,281214.278031,1.115535,30,1909101.799525,281214.278031,0.147302,Will Belgium win on 2026-07-01?,No,0,0.0,0.0,30,0,2026-04-28T17:56:51.840000Z,F_anomaly_or_unclear_excluded,True,does not cleanly meet A/B/C thresholds,fresh_api:local_sample_detail,True
polymarket,17,0x5e9458202b5817a72cf81105ec8a30e6f3705ba1,,246867.181917,1227815.351296,0.20106214,131,122222.097499,0.495093,30,2899285.248581,122222.097499,0.042156,Chicago Cubs vs. Milwaukee Brewers: O/U 7.5,Over,0,0.0,0.0,30,0,1969-12-31T19:00:00.000000Z,C_pm_midfreq_selective,False,mid-range trade count; multiple sampled markets; not entirely single-win dominated,fresh_api:local_sample_detail,True
polymarket,18,0xf5fabdcdc6eb6d9765a228824f16cca9c91f62df,palegrit,241095.133826,1455439.387245,0.1656511,8,103090.160469,0.427591,6,308380.553046,103090.160469,0.334295,Wimbledon ATP: Jenson Brooksby vs Ignacio Buse,Jenson Brooksby,2,153089.505,164017.9696,6,0,2026-06-02T11:33:15.135000Z,F_anomaly_or_unclear_excluded,True,does not cleanly meet A/B/C thresholds,fresh_api:local_sample_detail,True
polymarket,19,0x032eb1bc893940263ad0b01889f262fc232f2a9e,purplegatto,233425.989469,1803246.362351,0.12944764,4995,210120.167465,0.900158,30,2036182.51801,210120.167465,0.103193,Will South Africa win on 2026-06-24?,Yes,100,141824.5764,139719.9883,100,0,2026-05-13T11:11:26.566000Z,B_pm_hf_mm_arb,False,very high trade count; broad/current position footprint; largest win still large; verify not a single-event artifact,fresh_api:local_sample_detail,True
polymarket,20,0xc41d736bded9ed1accd6a44235039266219774fd,0xC41D736bDed9ED1acCD6A44235039266219774fD-1777101352681,227809.398149,1463656.615328,0.15564402,202,559590.864833,2.456399,30,5137838.020236,559590.864833,0.108916,Will Germany win on 2026-06-29?,No,100,0.4814,4241771.409,100,0,2026-04-25T03:15:52.833000Z,F_anomaly_or_unclear_excluded,True,does not cleanly meet A/B/C thresholds,fresh_api:local_sample_detail,True
polymarket,21,0x32b484581fc5606de9c1e43af4636b6be9bc8b21,0x32b484581fc5606dE9C1e43AF4636b6Be9BC8B21-1774274303653,222829.966947,4449039.328714,0.05008496,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,22,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,199174.962625,12221594.247055,0.01629697,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,23,0x28059b3fb7af7ed76d83dc9121bbb72ec7cf76ed,RISK-IS-NEVER-OK,187275.1228,435882.780503,0.42964561,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,24,0x53757615de1c42b83f893b79d4241a009dc2aeea,,182376.243152,1727668.530036,0.10556206,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,25,0xa8e089ade142c95538e06196e09c85681112ad50,Wannac,179303.781153,1281313.233584,0.13993751,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,26,0xdd882a70680633a75516f6ed5fce443e2d96dadb,MeiGuNiuBi,179207.78906,826625.575408,0.21679439,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,27,0x7d787c72c8317046fda90814a93c87fc192529a5,MD14,167036.66017,598445.739564,0.27911747,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,28,0x83255595ba1fadd2e734cb30a0fb8110301a19cc,Mind.The.Gap,166921.347987,2956520.039354,0.05645872,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,29,0x37ee3bceb4fbf028fb90d1463a4a5354da02f86f,0x37ee3BCEb4fBf028fb90D1463A4a5354Da02f86F-1781205947489,143750.152679,17738119.059189,0.00810402,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,30,0x4bff30af91642dc7d2b19a8664378fe55c45fc26,Sassy-Bucket,138861.365306,1826339.084219,0.07603263,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,31,0xc29e1cef4256f423e5a3e713d886bd25f98da2ca,shutitfatty,135223.059161,782568.31,0.17279394,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,32,0xe0ac9addc56c19e771a0524f5d172af4d7a476ff,quanterty,132941.575351,1330577.653325,0.09991268,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,33,0x37e053beabee77acc15e641dfe8e395b2b2d024e,ChinesePro,132595.841114,1187116.371374,0.11169574,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,34,0xa6a872ded6039c17a9e5c81b706c04e76fbeba32,eyeseethefuture,131697.36995,1039269.322001,0.12672112,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,35,0xa6d188fb70c2e2e9ad411c42c02379ed3020286a,zhuz632,123415.251434,574556.276777,0.21480098,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,36,0xbc43c8bfbc4d77c2fc9011adad38ba43b88996d3,0xBc43c8bfBC4d77c2FC9011adaD38Ba43b88996d3-1765231687816,121436.258637,890466.84631,0.1363737,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,37,0xfaa2b54347bd9a9f62d6e4bfb2d3180da53de80a,easymoney9,121084.495247,395658.034316,0.3060332,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,38,0xd1ed12197b7dc22dede923727e9b714024dbd7cb,curie,120136.011475,1727715.976898,0.06953458,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,39,0x9703676286b93c2eca71ca96e8757104519a69c2,AnonymousUsername,116852.984732,3154138.095023,0.03704752,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,40,0x384b622131b8897c3e431d5003c82cf7d8f07d78,robban888,116638.442738,238037.638241,0.49,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,41,0x162ca4c5249987872fea1e15c846d7fe80316c47,VD721lsj4938Dk388,115624.102002,255158.63,0.45314596,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,42,0xa40778fb8d0dba8a24a99c7d23511af263faca38,MrBlobby,103282.402542,641892.294794,0.16090301,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,43,0xcf6c5492124794394dd9eac46498a8babbe47e66,one8tyfive,103178.55613,704057.558386,0.14654847,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,44,0xe72bb501df5306c75c89383d48a1e81073fbb0a0,norrisfan,101656.294228,938406.435862,0.10832864,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,45,0x56acab44cfca2e88bb9b3406890aea7bfa0cd77e,dv-pm,101560.276555,716643.376109,0.14171662,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,46,0x85f031d069de300055900c4055c1baeb6bde3f67,RJW1,99635.586395,269689.614509,0.3694454,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,47,0x0c787cc2962ee6464414da592b892c3886e077f1,bbb17367162806,99247.798809,394231.824348,0.25174984,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,48,0x26437896ed9dfeb2f69765edcafe8fdceaab39ae,Latina,95106.850326,252648.77,0.376439,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,49,0x8fbb3c32496d4bcff8f456c3342f90edaaa09a17,diooson,91677.814358,706063.874429,0.12984351,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
polymarket,50,0xbc1b1e935cf5a06f9378fe2b249338649dc29d59,shijiebeifacai,90942.679627,1049247.776462,0.08667417,0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,,F_detail_pending_excluded,True,top50 leaderboard row read; per-account public detail deferred to deep-dive sessions,fresh_api:leaderboard_only_detail_pending,True
